" Bradley Byrne",2016,AL01,1366370,0," R",1366370
" Martha Roby",2016,AL02,1381821,48.8," R",1381821
" Mike D Rogers",2016,AL03,1137285,0," R",1147095
" Jesse Smith",2016,AL03,9810,32.9," D",1147095
" Robert B Aderholt",2016,AL04,1433641,0," R",1433641
" Mo Brooks",2016,AL05,475500,66.7," R",536622
" Will Boyd",2016,AL05,61122,33.2," D",536622
" Gary Palmer",2016,AL06,1201855,74.5," R",1286834
" David Putman",2016,AL06,84979,25.4," D",1286834
" Terri A Sewell",2016,AL07,1613552,0," D",1613552
" Don Young",2016,AK01,1095211,50.3," R",2183358
" Steve Lindbeck",2016,AK01,1088147,36," D",2183358
" Tom OHalleran",2016,AZ01,1596669,50.7," D",2899562
" Paul Babeu",2016,AZ01,1272893,43.4," R",2899562
" Brian Malnes",2016,AZ01,30000,0," I",2899562
" Martha McSally",2016,AZ02,7699932,57," R",9276055
" Matt Heinz",2016,AZ02,1576123,43," D",9276055
" Raul M Grijalva",2016,AZ03,658782,0," D",658782
" Paul Gosar",2016,AZ04,702261,71.5," R",738305
" Mikel Weisser",2016,AZ04,36044,28.5," D",738305
" Andy Biggs",2016,AZ05,994666,64.1," R",1013324
" Talia Fuentes",2016,AZ05,18658,35.9," D",1013324
" David Schweikert",2016,AZ06,587747,62.1," R",594218
" Walter John Williamson",2016,AZ06,6471,0," D",594218
" Ruben Gallego",2016,AZ07,1088292,75.2," D",1121903
" Eve Nunez",2016,AZ07,33611,24.7," R",1121903
" Trent Franks",2016,AZ08,265863,68.5," R",265863
" Kyrsten Sinema",2016,AZ09,4171189,60.9," D",4423788
" Dave Giles",2016,AZ09,252599,39.1," R",4423788
" Rick Crawford",2016,AR01,669502,76.3," R",669502
" French Hill",2016,AR02,2199132,58.4," R",2234922
" Dianne Curry",2016,AR02,35790,36.8," D",2234922
" Steve Womack",2016,AR03,930982,77.3," R",930982
" Bruce Westerman",2016,AR04,715778,74.9," R",715778
" Doug LaMalfa",2016,CA01,791830,59.1," R",925145
" Jim Reed",2016,CA01,133315,40.9," D",925145
" Jared Huffman",2016,CA02,962597,76.9," D",965861
" Dale Kenneth Mensing",2016,CA02,3264,0," R",965861
" John Garamendi",2016,CA03,1139600,59.4," D",1521604
" N Eugene Cleek",2016,CA03,382004,0," R",1521604
" Tom McClintock",2016,CA04,1039359,62.7," R",1144564
" Robert Derlet",2016,CA04,105205,0," D",1144564
" Mike Thompson",2016,CA05,2036950,76.9," D",2039650
" Carlos J Santamaria",2016,CA05,2700,0," R",2039650
" Doris O Matsui",2016,CA06,1103091,0," D",1105996
" Robert S Evans",2016,CA06,2905,0," R",1105996
" Ami Bera",2016,CA07,4078146,51.2," D",5432665
" Scott Jones",2016,CA07,1354519,48.8," R",5432665
" Paul Cook",2016,CA08,935283,62.3," R",971026
" Rita Ramirez",2016,CA08,35743,37.7," D",971026
" Jerry McNerney",2016,CA09,1214703,57.4," D",1276070
" Tony Amador",2016,CA09,61367,42.6," R",1276070
" Jeff Denham",2016,CA10,3336740,51.7," R",4941252
" Michael Eggman",2016,CA10,1604512,48.3," D",4941252
" Mark Desaulnier",2016,CA11,625213,0," D",633260
" Roger Petersen",2016,CA11,8047,27.9," R",633260
" Nancy Pelosi",2016,CA12,4318119,80.9," D",4328934
" Robert Miller",2016,CA12,10815,0," R",4328934
" Barbara Lee",2016,CA13,1316688,90.8," D",1321209
" Suzanne Caro",2016,CA13,4521,0," R",1321209
" Jackie Speier",2016,CA14,874154,80.9," D",874154
" Eric Swalwell",2016,CA15,1935517,73.8," D",1936150
" Danny Turner",2016,CA15,633,26.2," R",1936150
" Jim Costa",2016,CA16,1749101,58," D",2275221
" Johnny Tacherra",2016,CA16,526120,42," R",2275221
" Mike Honda",2016,CA17,2964838,39," D",6672110
" Ro Khanna",2016,CA17,3707272,61," D",6672110
" Anna Eshoo",2016,CA18,1370037,71.1," D",1389255
" Richard Fox",2016,CA18,19218,28.9," R",1389255
" Zoe Lofgren",2016,CA19,1371445,73.9," D",1376945
" Gordon Lancaster",2016,CA19,5500,0," R",1376945
" Jimmy Panetta",2016,CA20,1410118,70.8," D",1830377
" Casey Lucius",2016,CA20,420259,29.2," R",1830377
" David Valadao",2016,CA21,2768474,56.7," R",3536229
" Emilio Huerta",2016,CA21,767755,43.3," D",3536229
" Devin Nunes",2016,CA22,2459235,67.6," R",2459235
" Kevin McCarthy",2016,CA23,7735577,69.2," R",7770866
