text,amount
Alabama District 01,
Candidate,Candidate Raised
Bradley Byrne (R) • Incumbent • Winner,1366370
Alabama District 02,
Candidate,Candidate Raised
Martha Roby (R) • Incumbent • Winner,1381821
Rob John (I),0
Nathan Mathis (D),0
Alabama District 03,
Candidate,Candidate Raised
Mike D Rogers (R) • Incumbent • Winner,1137285
Jesse Smith (D),9810
Alabama District 04,
Candidate,Candidate Raised
Robert B Aderholt (R) • Incumbent • Winner,1433641
Alabama District 05,
Candidate,Candidate Raised
Mo Brooks (R) • Incumbent • Winner,475500
Will Boyd (D),61122
Alabama District 06,
Candidate,Candidate Raised
Gary Palmer (R) • Incumbent • Winner,1201855
David Putman (D),84979
Alabama District 07,
Candidate,Candidate Raised
Terri A Sewell (D) • Incumbent • Winner,1613552
Christopher Andrew Bishop (I),0
Alaska District 01,
Candidate,Candidate Raised
Don Young (R) • Incumbent • Winner,1095211
Steve Lindbeck (D),1088147
Bernie Souphanavong (I),0
Zachary Kile (I),0
Jim McDermott (L),0
Arizona District 01,
Candidate,Candidate Raised
Tom O'Halleran (D) • Winner,1596669
Paul Babeu (R),1272893
Brian Malnes (I),30000
Ray Parrish (3),0
Kim Allen (L),0
Miguel Olivas (D),0
Arizona District 02,
Candidate,Candidate Raised
Martha McSally (R) • Incumbent • Winner,7699932
Matt Heinz (D),1576123
Rowan Bean (I),0
Edward Tilton (L),0
Gary Swing (3),0
Arizona District 03,
Candidate,Candidate Raised
Raul M Grijalva (D) • Incumbent • Winner,658782
Harvey Martin (3),0
Mike Ross (L),0
Bill Abatecola (R),0
Federico Sanchez (I),0
Arizona District 04,
Candidate,Candidate Raised
Paul Gosar (R) • Incumbent • Winner,702261
Mikel Weisser (D),36044
Robert Hixon (I),0
Jeffery Daniels (L),0
Arizona District 05,
Candidate,Candidate Raised
Andy Biggs (R) • Winner,994666
Talia Fuentes (D),18658
Nolan Daniels (L),0
Arizona District 06,
Candidate,Candidate Raised
David Schweikert (R) • Incumbent • Winner,587747
Walter John Williamson (D),6471
Michael Shoen (L),0
Arizona District 07,
Candidate,Candidate Raised
Ruben Gallego (D) • Incumbent • Winner,1088292
Eve Nunez (R),33611
Neil B. Westbrooks (3),0
Joe Cobb (L),0
Arizona District 08,
Candidate,Candidate Raised
Trent Franks (R) • Incumbent • Winner,265863
Joe Devivo (D),0
Hayden Keener III (I),0
Mark Salazar (3),0
Arizona District 09,
Candidate,Candidate Raised
Kyrsten Sinema (D) • Incumbent • Winner,4171189
Dave Giles (R),252599
Mike Shipley (L),0
Cary Dolego (3),0
Axel Bello (I),0
Arkansas District 01,
Candidate,Candidate Raised
Rick Crawford (R) • Incumbent • Winner,669502
Mark West (L),0
Arkansas District 02,
Candidate,Candidate Raised
French Hill (R) • Incumbent • Winner,2199132
Dianne Curry (D),35790
Mathew Wescott (I),0
Charles Neely (I),0
Chris Hayes (L),0
Arkansas District 03,
Candidate,Candidate Raised
Steve Womack (R) • Incumbent • Winner,930982
Nathan Lafrance (L),0
Steve Isaacson (L),0
Steve Isaacson (L),0
Arkansas District 04,
Candidate,Candidate Raised
Bruce Westerman (R) • Incumbent • Winner,715778
Kerry Hicks (L),0
California District 01,
Candidate,Candidate Raised
Doug LaMalfa (R) • Incumbent • Winner,791830
Jim Reed (D),133315
California District 02,
Candidate,Candidate Raised
Jared Huffman (D) • Incumbent • Winner,962597
Dale Kenneth Mensing (R),3264
California District 03,
Candidate,Candidate Raised
John Garamendi (D) • Incumbent • Winner,1139600
N Eugene Cleek (R),382004
California District 04,
Candidate,Candidate Raised
Tom McClintock (R) • Incumbent • Winner,1039359
Robert Derlet (D),105205
California District 05,
Candidate,Candidate Raised
Mike Thompson (D) • Incumbent • Winner,2036950
Carlos J Santamaria (R),2700
California District 06,
Candidate,Candidate Raised
Doris O Matsui (D) • Incumbent • Winner,1103091
Robert S Evans (R),2905
California District 07,
Candidate,Candidate Raised
Ami Bera (D) • Incumbent • Winner,4078146
Scott Jones (R),1354519
California District 08,
Candidate,Candidate Raised
Paul Cook (R) • Incumbent • Winner,935283
Rita Ramirez (D),35743
California District 09,
Candidate,Candidate Raised
Jerry McNerney (D) • Incumbent • Winner,1214703
Tony Amador (R),61367
California District 10,
Candidate,Candidate Raised
Jeff Denham (R) • Incumbent • Winner,3336740
Michael Eggman (D),1604512
California District 11,
Candidate,Candidate Raised
Mark Desaulnier (D) • Incumbent • Winner,625213
Roger Petersen (R),8047
California District 12,
Candidate,Candidate Raised
Nancy Pelosi (D) • Incumbent • Winner,4318119
Robert Miller (R),10815
California District 13,
Candidate,Candidate Raised
Barbara Lee (D) • Incumbent • Winner,1316688
Suzanne Caro (R),4521
California District 14,
Candidate,Candidate Raised
Jackie Speier (D) • Incumbent • Winner,874154
California District 15,
Candidate,Candidate Raised
Eric Swalwell (D) • Incumbent • Winner,1935517
Danny Turner (R),633
California District 16,
Candidate,Candidate Raised
Jim Costa (D) • Incumbent • Winner,1749101
Johnny Tacherra (R),526120
California District 17,
Candidate,Candidate Raised
Mike Honda (D) • Incumbent,2964838
Ro Khanna (D) • Winner,3707272
California District 18,
Candidate,Candidate Raised
Anna Eshoo (D) • Incumbent • Winner,1370037
Richard Fox (R),19218
California District 19,
Candidate,Candidate Raised
Zoe Lofgren (D) • Incumbent • Winner,1371445
Gordon Lancaster (R),5500
California District 20,
Candidate,Candidate Raised
Jimmy Panetta (D) • Winner,1410118
Casey Lucius (R),420259
California District 21,
Candidate,Candidate Raised
David Valadao (R) • Incumbent • Winner,2768474
Emilio Huerta (D),767755
California District 22,
Candidate,Candidate Raised
Devin Nunes (R) • Incumbent • Winner,2459235
Louie Campos (D),0
California District 23,
Candidate,Candidate Raised
Kevin McCarthy (R) • Incumbent • Winner,7735577
Wendy Reed (D),35289
California District 24,
Candidate,Candidate Raised
Salud Carbajal (D) • Winner,3094060
Justin Fareed (R),2317606
California District 25,
Candidate,Candidate Raised
Steve Knight (R) • Incumbent • Winner,1707535
Bryan Caforio (D),1675080
California District 26,
Candidate,Candidate Raised
Julia Brownley (D) • Incumbent • Winner,3290603
Rafael Dagnesses (R),184197
California District 27,
Candidate,Candidate Raised
Judy Chu (D) • Incumbent • Winner,1170205
Jack Orswell (R),181166
California District 28,
Candidate,Candidate Raised
Adam Schiff (D) • Incumbent • Winner,968263
Lenore Solis (R),0
California District 29,
Candidate,Candidate Raised
Tony Cardenas (D) • Incumbent • Winner,1698961
Richard Alarcon (D),69834
California District 30,
Candidate,Candidate Raised
Brad Sherman (D) • Incumbent • Winner,1556653
Mark Reed (R),0
California District 31,
Candidate,Candidate Raised
Pete Aguilar (D) • Incumbent • Winner,2891161
Paul Chabot (R),621619
California District 32,
Candidate,Candidate Raised
